1|Agricultura
2|Ganadería y animales
3|Silvicultura
4|Pesca
5|Extracción de Petróleo y gas natural; actividades de serv relacionados
6|Minas y canteras
7|Elaboración de productos alimenticios, de bebidas y tabaco
8|Fabricación de productos textiles, prendas de vestir; fabricación de cuero y artículos de cuero
9|Producción de madera y fabricación de productos de madera
10|Fabricación de papel y productos de papel
11|Fabricación de productos de la refinación petróleo
12|Fabricación de productos químicos; del caucho y plástico
13|Fabricación de productos metálicos y no metálicos
14|Fabricación de maquinaria y equipo; equipo de transporte, muebles e industrias manufactureras ncp
15|Suministro de electricidad y agua
16|Construcción
17|Comercio al por mayor y al por menor; reparación de los vehículos de motor y de las motocicletas
18|Alojamiento y servicios de comida
19|Transporte y almacenamiento 
20|Información y comunicación
21|Actividades financieras y de seguros
22|Actividades inmobiliarias,
23|Actividades profesionales, técnicas y administrativas
24|Administación pública y defensa; planes de seguridad social de afiliación obligatoria
25|Enseñanza
26|Servicios sociales y de salud
27|Entretenimiento, recreación y otras actividades de servicios
28|Hogares privados con servicio doméstico